wikidata_code;birth;death;name;main_occ;citizenship;bplo1;dplo1;bpla1;dpla1
Q111836;1882;1970;Georges_Weill;politician;Germany;7.752222061157227;2.351388931274414;48.57333374023438;48.8569450378418
Q1118436;1652;1736;Claude-Guy_Hallé;painter;France;2.351388931274414;2.351388931274414;48.8569450378418;48.8569450378418
Q1118576;1477;1544;Pierre_de_La_Baume;priest;France;5.128333568572998;5.773889064788818;46.33666610717773;46.90277862548828
Q111869;1903;1973;Hermann_Östrich;engineer;Germany;6.701109886169434;2.351388931274414;51.47529983520508;48.8569450378418
Q1118765;1922;2000;José_Cabanis;writer;France;1.443888902664185;1.498611092567444;43.60444259643555;43.61027908325195
Q1118848;1844;1909;Paschal_Grousset;journalist;France;9.150555610656738;2.351388931274414;42.30555725097656;48.8569450378418
Q1118858;1951;1996;Marcel_Dadi;guitar;France;10.63333320617676;-73.25361633300781;35.83333206176758;40.80580520629883
Q1118968;1878;1975;Lucien_Huteau;football;France;2.311111211776733;2.307777881622315;48.87416839599609;49.23555374145508
Q1119258;1970;;Henri_Deneubourg;film;France;2;;47;
Q1119283;1753;1818;Jean-Baptiste-Moïse_Jollivet;politician;France;3.566666603088379;2.659166574478149;47.79999923706055;48.53972244262695
Q111952;1957;;Christine_Wodrascka;pianist;France;5.445555686950684;;43.52777862548828;
Q1119577;1839;1904;François-Joseph_Schmitt;missionary;France;7.566111087799072;100.5166702270508;48.70194625854492;13.75
Q111993;1666;1734;Count_Claude_Florimond_de_Mercy;officer;Austria;5.760555744171143;10.32800006866455;49.51972198486328;44.80147171020508
Q1120043;1923;2000;Francesco_Petagna;football;Italy;17.2408332824707;13.77027797698975;40.41805648803711;45.65027618408203
Q112070;1879;1912;Franz_Reichelt;tailor;France;14.37430477142334;2.351388931274414;50.45306015014648;48.8569450378418
Q1120855;1857;1918;Louis_Abel-Truchet;painter;France;2.134166717529297;3.566944360733032;48.80472183227539;47.79750061035156
Q1120876;1829;1880;Edmond_Albius;horticulturist;France;55.60722351074219;55.60722351074219;-20.90555572509766;-20.90555572509766
Q11209100;1943;;Jean-Marie_Basset;chemist;France;4.841388702392578;;45.75888824462891;
Q11209175;1947;;Pierre_Braunstein;chemist;France;7.339166641235352;;47.74861145019531;
Q11209458;1769;1832;Noël-Étienne_Henry;chemist;France;2.087500095367432;;49.43416595458984;
Q1121012;1917;1975;Raymond_Picard;academic;France;4.166666507720947;4.166666507720947;48.33333206176758;48.33333206176758
Q1121021;1769;1810;Francesco_Gnecco;composer;Italy;8.93398380279541;9.189999580383301;44.40718460083008;45.46694564819336
Q1121086;1915;1974;Francesco_Arcangeli_(1915);poet;Italy;11.34277820587158;11.34277820587158;44.49388885498047;44.49388885498047
Q1121088;1908;1995;Loulou_Gasté;music;France;2.351388931274414;2.18833327293396;48.8569450378418;48.87777709960938
Q1121164;1928;2007;François_Gourguillon;priest;France;2.357852697372437;4.028611183166504;48.87550735473633;49.26527786254883
Q1121206;1339;1401;Guillaume_d'Aigrefeuille_le_Jeune;priest;France;2.369722127914429;4.808333396911621;45.51610946655273;43.94861221313477
Q1121416;1879;1913;Léon_Deubel;poet;France;6.862777709960938;2.437777757644653;47.63750076293945;48.80583190917969
Q1121518;1904;1983;Francesco_Cacciatore;politician;Italy;14.76666641235352;14.75972175598145;40.78333282470703;40.68055725097656
Q1121703;1988;;Yannick_Borel;fencer;France;-61.53305435180664;;16.24111175537109;
Q11220186;1852;1890;Léonce_Bridoux;priest;France;2.950000047683716;;50.42111206054688;
Q11220201;1861;1896;Antonin_Guillermain;priest;France;4.841388702392578;;45.75888824462891;
Q1122249;1910;1995;Julien_Bertheau;actor;France;3.058611154556274;7.268333435058594;36.77639007568359;43.70194625854492
Q1122264;1949;;Franz_Bartelt;poet;France;1.411666631698608;;49.24555587768555;
Q1122656;1549;1550;Louis_of_Valois;aristocrat;France;2.701666593551636;1.716666698455811;48.40888977050781;48.99055480957031
Q1122778;1826;1881;Émile_Léopold_Clément;artisan;France;3.014722108840942;2.355555534362793;48.55500030517578;48.85555648803711
Q1122855;1860;1943;Comte_Jean_de_Villeneuve-Esclapon;chess;France;5.445555686950684;7.268333435058594;43.52777862548828;43.70194625854492
Q1123144;1940;;Georges_Carnus;football;France;5.235582828521729;;43.3931884765625;
Q1123174;1732;1790;François-Henri_Clicquot;organbuilder;France;2.351388931274414;2.351388931274414;48.8569450378418;48.8569450378418
Q1123408;1795;1867;Joseph_Toussaint_Reinaud;historian;France;5.26194429397583;2.351388931274414;43.65388870239258;48.8569450378418
Q11242350;1989;;Victor_Jouseau;football;France;4.802499771118164;;45.73361206054688;
Q1124384;1883;1914;Louis_Bach;football;France;2.357852697372437;4.840555667877197;48.87550735473633;49.21500015258789
Q1124425;1993;;Kévin_Mayi;football;France;4.841388702392578;;45.75888824462891;
Q11244652;1832;1905;Armand-Isidore-Sylvain_Petiet;politician;France;-1.427777767181397;2.351388931274414;46.66972351074219;48.8569450378418
Q11246040;1887;1914;Ralph_Hancock_(cricketer);cricket;United_Kingdom;-3.213333368301392;2.736666679382324;51.49333190917969;50.5433349609375
Q1125056;1988;;Livio_Nabab;football;France;-61.50472259521484;;16.27055549621582;
Q11252070;1978;;Cyril_Villain;player;France;1.519166707992554;;46.58889007568359;
Q11253418;1941;;Babette_Mangolte;film;France;5.529722213745117;;46.67610931396484;
Q1125417;1615;1672;Marguerite_of_Lorraine;aristocrat;France;6.183610916137695;2.351388931274414;48.69277954101563;48.8569450378418
Q112543;1981;;Louise_Wagner;choreographer;Germany;16.37249946594238;;48.20833206176758;
Q1125684;1966;;Francesco_Di_Fiore;pianist;Italy;13.36126232147217;;38.11565780639648;
Q1125847;1851;1915;Henry_Bauër;writer;France;2.351388931274414;2.351388931274414;48.8569450378418;48.8569450378418
Q112659;1444;1483;Francesco_Gonzaga_(1444–1483);priest;Italy;10.79111099243164;11.34277820587158;45.15638732910156;44.49388885498047
Q1126845;1766;1839;Conrad_Karl_Friedrich_von_Andlau-Birseck;politician;France;7.620277881622315;7.849999904632568;47.49222183227539;47.99499893188477
Q1126857;1854;1909;Henri_Vallienne;physician;France;-.0780555531382561;2.299166679382324;47.2591667175293;48.81722259521484
Q1126897;1518;1561;Conrad_Lycosthenes;philologist;France;7.297777652740479;7.590555667877197;47.95777893066406;47.56055450439453
Q1127399;1893;1980;Emile_Lahner;painter;France;22.45861053466797;2.357852697372437;48.8922233581543;48.87550735473633
Q1127464;1729;1765;Louis,_Dauphin_of_France_(son_of_Louis_XV);king;France;2.120354890823364;2.701666593551636;48.80486679077148;48.40888977050781
Q1127505;1682;1712;Louis,_Duke_of_Burgundy;son;France;2.134166717529297;2.09416675567627;48.80472183227539;48.866943359375
Q1127656;1767;1845;Constance_de_Théis;poet;France;-1.553888916969299;2.351388931274414;47.21722412109375;48.8569450378418
Q1127678;1807;1865;Constant_Dutilleux;painter;France;3.079166650772095;2.351388931274414;50.37083435058594;48.8569450378418
Q1127889;1763;1846;Constantin_Michel_Telle;dancer;France;3.951957941055298;13.38333320617676;50.4549560546875;52.51666641235352
Q1127989;1916;1992;Constantin_Virgil_Gheorghiu;writer;Romania;26.55753517150879;2.351388931274414;47.06790542602539;48.8569450378418
Q112818;1730;1786;Isidore_Canevale;architect;Austria;2.439166784286499;16.37249946594238;48.8477783203125;48.20833206176758
Q112821;1964;;Jim_Grabb;player;US;-110.9263916015625;;32.2216682434082;
Q11282528;1983;;Eye_Haïdara;actor;France;2.24138879776001;;48.83527755737305;
Q112832;1936;1995;Rita_Cadillac;dancer;France;2.344447135925293;.074444442987442;48.89215087890625;49.35916519165039
Q11285335;1984;;Andrea_Blede;football;France;2;;47;
Q11286518;1961;;Isabelle_Poulenard;singer;France;2.351388931274414;;48.8569450378418;
Q1129276;800;868;Conwoïon;religious;France;-2.083889007568359;-2.099166631698608;47.87638854980469;48.00166702270508
Q112932;1652;1728;Camille_d'Hostun,_duc_de_Tallard;militar;France;5.733333110809326;2.351388931274414;45.38333511352539;48.8569450378418
